SellerCode	SellerSKU	ASIN	InventoryDate	SalesVolumnDay1	SalesVolumnDay7	SalesVolumnDay30	SalesVolumnDay90	SalesVolumnDayTotal	QuantitySellable	QuantityUnsellable	OnSaleDaysIn30Days	OutOfStockDaysIn30Days	PredictedSalesVolumnWeekly
PW	PW00B000270ADG	B00MTX6YR4	201607131252060	null	null	null	null	null	0	1	0	2	null
PW	PWAAB000056ADG	B00LBSHDR8	201607131252060	null	null	null	null	null	0	0	0	2	null
PW	PW00B000281ADG	B00MTX6Z9G	201607131252060	null	null	null	null	null	0	0	0	2	null
PW	PW00B000724ADG	B00MWSM2HM	201607131252060	null	null	null	null	null	12	0	2	0	null
PW	PW00B000408CDG	B00MVXDFQK	201607131252060	null	null	null	null	null	0	0	0	2	null
PW	PW00B000047ADG	B00MPS8R64	201607131252060	null	null	null	null	null	0	0	0	2	null
PW	PW00B000025CDG	B00MMZRK6S	201607131252060	null	null	null	null	null	0	0	0	2	null
PW	PW00B000151ADG	B00MW0MU3Q	201607131252060	null	null	null	null	null	0	0	0	2	null
PW	PW00B000190ADG	B00MO3RA36	201607131252060	null	null	null	null	null	0	0	0	2	null
PW	PW00B000143ADG	B00MNHL7S2	201607131252060	null	null	null	null	null	19	0	2	0	null
PW	PW00W000302ADG	B00MOIGAAU	201607131252060	null	null	null	null	null	0	0	0	2	null
PW	PW00B000301ADG	B00MO49LBY	201607131252060	null	null	null	null	null	0	0	0	2	null
PW	PW00B000171ADG	B00N9UJQ2Q	201607131252060	null	null	null	null	null	101	0	2	0	null
PW	PW00001203ADT-CBM	B00OOKY1S4	201607131252060	null	null	null	null	null	0	0	0	2	null
PW	PWB000365AABDG	B00M0DW2UQ	201607131252060	null	null	null	null	null	12	0	2	0	null
PW	AA00B002013AFL-FBA	B00WVUZYDU	201607131252060	null	null	null	null	null	0	0	0	2	null
PW	PW00B000185ADG	B00MO7162S	201607131252060	null	null	null	null	null	0	0	0	2	null
PW	PW00W000268ADG	B00N9UJR8Y	201607131252060	null	null	null	null	null	2	0	2	0	null
PW	PW00B002120AFL-FBA	B01121341M	201607131252060	null	null	null	null	null	0	0	0	2	null
PW	PW00B000550ADG	B00MJ4CQTS	201607131252060	null	null	null	null	null	5	0	2	0	null
PW	PW00B000204ADG	B00MPM8VNE	201607131252060	0	0	0	1	1	0	0	0	2	0.2
PW	PW00B003133AAR-FBA	B018Z1JKOC	201607131252060	null	null	null	null	null	0	0	0	2	null
PW	PW00R000423ASF	B00ML2MZCG	201607131252060	null	null	null	null	null	0	0	0	2	null
PW	PW00B000012ADG	B00MMZS490	201607131252060	0	3	9	9	9	7	0	2	0	1.8
PW	PW00001205ADT-CBM	B00OOKXXGK	201607131252060	null	null	null	null	null	0	0	0	2	null
PW	PW00B000341AFL-FBA	B00MP6GSWQ	201607131252060	0	3	44	44	44	65	0	2	0	11.5
PW	AA00B002007AFL-FBA	B00WVV01OQ	201607131252060	null	null	null	null	null	0	0	0	2	null
PW	PW00B002020AFL-FBA	B00XBWNHMM	201607131252060	null	null	null	null	null	0	0	0	2	null
PW	PW00B000224ADG	B00MW0LP0A	201607131252060	null	null	null	null	null	0	0	0	2	null
PW	PW00B000279ADG	B00MTX6YCY	201607131252060	null	null	null	null	null	14	0	2	0	null
PW	PW00B002117AFL-FBA	B011212SB4	201607131252060	null	null	null	null	null	0	0	0	2	null
PW	PW00B002199AFL-FBA	B011ICK8PA	201607131252060	null	null	null	null	null	0	0	0	2	null
PW	PW00B002198AFL-FBA	B011ICK0M6	201607131252060	null	null	null	null	null	0	0	0	2	null
PW	PW00B003128AAR-FBA	B018Z1JJ16	201607131252060	null	null	null	null	null	0	0	0	2	null
